,hid,rlid,admin1,admin2,hh_size
133,,,51,153,2
134,,,51,161,2
135,,,51,059,2
136,,,51,760,2
137,,,51,800,1
138,,,51,083,1
139,,,51,630,1
140,,,51,019,1
141,,,51,025,1
142,,,51,800,1
143,,,51,840,1
144,,,51,810,1
145,,,51,099,1
146,,,51,700,1
147,,,51,760,2
148,,,51,003,1
149,,,51,059,1
150,,,51,107,1
151,,,51,710,2
152,,,51,087,1
153,,,51,810,4
154,,,51,041,5
155,,,51,610,1
156,,,51,059,2
157,,,51,035,1
158,,,51,660,2
159,,,51,047,2
160,,,51,041,2
161,,,51,153,1
162,,,51,153,1
163,,,51,067,1
164,,,51,171,1
165,,,51,550,1
166,,,51,165,1
167,,,51,153,1
168,,,51,059,5
169,,,51,570,2
170,,,51,085,5
171,,,51,760,1
172,,,51,107,1
173,,,51,083,2
174,,,51,087,3
175,,,51,550,1
176,,,51,013,1
177,,,51,059,1
178,,,51,191,1
179,,,51,710,1
180,,,51,153,1
181,,,51,029,1
182,,,51,179,2
183,,,51,059,2
184,,,51,510,2
185,,,51,069,2
186,,,51,059,2
187,,,51,059,2
188,,,51,059,2
189,,,51,600,2
190,,,51,750,2
191,,,51,143,3
192,,,51,095,2
193,,,51,161,1
194,,,51,059,1
195,,,51,153,3
196,,,51,059,3
197,,,51,137,1
198,,,51,069,1
199,,,51,013,1
200,,,51,087,4
201,,,51,059,1
202,,,51,041,2
203,,,51,059,1
204,,,51,800,4
205,,,51,770,3
206,,,51,550,1
207,,,51,820,1
208,,,51,013,1
209,,,51,013,1
210,,,51,165,1
211,,,51,510,5
212,,,51,019,2
213,,,51,059,2
214,,,51,059,2
215,,,51,187,1
216,,,51,740,3
217,,,51,149,2
218,,,51,680,1
219,,,51,163,1
220,,,51,013,2
221,,,51,550,1
222,,,51,760,1
223,,,51,071,2
224,,,51,610,2
225,,,51,059,1
226,,,51,059,3
227,,,51,051,2
228,,,51,165,2
229,,,51,177,1
230,,,51,085,1
231,,,51,810,5
232,,,51,760,1
233,,,51,013,3
234,,,51,153,2
235,,,51,760,1
236,,,51,770,2
237,,,51,760,1
238,,,51,153,1
239,,,51,059,2
240,,,51,177,2
241,,,51,810,3
242,,,51,770,3
243,,,51,059,1
244,,,51,093,2
245,,,51,770,1
246,,,51,810,1
247,,,51,177,2
248,,,51,087,3
249,,,51,059,2
250,,,51,001,1
251,,,51,177,1
252,,,51,199,1
253,,,51,680,5
254,,,51,059,3
255,,,51,153,1
256,,,51,029,2
257,,,51,033,3
258,,,51,810,2
259,,,51,195,1
260,,,51,710,4
261,,,51,710,1
262,,,51,650,5
263,,,51,153,2
264,,,51,510,1
265,,,51,540,1
266,,,51,135,3
267,,,51,061,2
268,,,51,003,1
269,,,51,153,3
270,,,51,730,1
271,,,51,700,1
272,,,51,550,1
273,,,51,550,1
274,,,51,700,1
275,,,51,121,2
276,,,51,041,2
277,,,51,153,2
278,,,51,510,1
279,,,51,760,1
280,,,51,081,1
281,,,51,031,3
282,,,51,059,1
283,,,51,810,2
284,,,51,710,3
285,,,51,810,1
286,,,51,510,2
287,,,51,011,2
288,,,51,013,1
289,,,51,510,1
290,,,51,059,1
291,,,51,031,1
292,,,51,013,1
293,,,51,107,1
294,,,51,810,1
295,,,51,069,1
296,,,51,193,1
297,,,51,770,2
298,,,51,013,1
299,,,51,059,1
300,,,51,610,1
301,,,51,760,1
302,,,51,153,2
303,,,51,730,2
304,,,51,059,1
305,,,51,710,2
306,,,51,005,1
307,,,51,031,2
308,,,51,740,2
309,,,51,550,2
310,,,51,810,2
311,,,51,650,1
312,,,51,059,2
313,,,51,059,1
314,,,51,059,2
315,,,51,135,3
316,,,51,059,4
317,,,51,685,2
318,,,51,067,3
319,,,51,061,4
320,,,51,710,3
321,,,51,069,1
322,,,51,760,2
323,,,51,179,2
324,,,51,131,1
325,,,51,570,1
326,,,51,025,1
327,,,51,059,2
328,,,51,680,2
329,,,51,059,2
330,,,51,510,2
331,,,51,540,3
332,,,51,760,2
333,,,51,710,2
334,,,51,153,2
335,,,51,770,2
336,,,51,099,1
337,,,51,790,1
338,,,51,570,2
339,,,51,740,2
340,,,51,760,1
341,,,51,165,1
342,,,51,059,4
343,,,51,197,2
344,,,51,187,2
345,,,51,199,2
346,,,51,510,1
347,,,51,059,1
348,,,51,013,1
349,,,51,091,1
350,,,51,005,2
351,,,51,710,1
352,,,51,059,1
353,,,51,003,1
354,,,51,510,1
355,,,51,740,1
356,,,51,059,1
357,,,51,810,1
358,,,51,700,2
359,,,51,153,5
360,,,51,087,1
361,,,51,155,1
362,,,51,710,3
363,,,51,810,3
364,,,51,550,2
365,,,51,179,4
366,,,51,650,1
367,,,51,009,1
368,,,51,540,3
369,,,51,061,1
370,,,51,161,4
371,,,51,550,1
372,,,51,087,1
373,,,51,169,1
374,,,51,059,1
375,,,51,035,2
376,,,51,109,1
377,,,51,173,1
378,,,51,760,3
379,,,51,137,1
380,,,51,059,1
381,,,51,023,1
382,,,51,087,2
383,,,51,540,2
384,,,51,059,2
385,,,51,810,1
386,,,51,067,1
387,,,51,099,3
388,,,51,059,2
389,,,51,680,2
390,,,51,550,1
391,,,51,700,2
392,,,51,153,2
393,,,51,800,2
394,,,51,083,1
395,,,51,191,2
396,,,51,179,2
397,,,51,161,1
398,,,51,107,1
399,,,51,153,2
400,,,51,093,2
401,,,51,740,1
402,,,51,810,1
403,,,51,650,4
404,,,51,035,2
405,,,51,760,2
406,,,51,013,4
407,,,51,149,7
408,,,51,069,3
409,,,51,700,1
410,,,51,107,4
411,,,51,700,1
412,,,51,510,2
413,,,51,710,1
414,,,51,810,1
415,,,51,800,1
416,,,51,179,1
417,,,51,760,2
418,,,51,093,2
419,,,51,550,1
420,,,51,113,1
421,,,51,065,1
422,,,51,085,3
423,,,51,740,2
424,,,51,013,2
425,,,51,177,2
426,,,51,137,1
427,,,51,750,1
428,,,51,177,1
429,,,51,165,1
430,,,51,710,1
431,,,51,013,1
432,,,51,520,2
433,,,51,107,1
434,,,51,059,1
435,,,51,680,1
436,,,51,107,1
437,,,51,740,2
438,,,51,153,2
439,,,51,153,1
440,,,51,800,1
441,,,51,059,2
442,,,51,161,2
443,,,51,025,3
444,,,51,195,1
445,,,51,770,4
446,,,51,015,1
447,,,51,013,1
448,,,51,041,2
449,,,51,083,2
450,,,51,131,1
451,,,51,175,1
452,,,51,069,2
453,,,51,650,2
454,,,51,760,3
455,,,51,810,1
456,,,51,015,2
457,,,51,013,2
458,,,51,840,1
459,,,51,013,2
460,,,51,003,3
461,,,51,650,1
462,,,51,650,1
463,,,51,810,2
464,,,51,059,4
465,,,51,061,1
466,,,51,011,5
467,,,51,041,1
468,,,51,061,1
469,,,51,031,2
470,,,51,510,2
471,,,51,760,1
472,,,51,131,1
473,,,51,037,4
474,,,51,185,1
475,,,51,590,2
476,,,51,083,1
477,,,51,600,2
478,,,51,177,3
479,,,51,177,1
480,,,51,650,1
481,,,51,059,2
482,,,51,770,1
483,,,51,059,2
484,,,51,059,2
485,,,51,041,2
486,,,51,059,2
487,,,51,095,4
488,,,51,171,4
489,,,51,640,2
490,,,51,810,4
491,,,51,041,3
492,,,51,059,3
493,,,51,165,1
494,,,51,003,2
495,,,51,153,1
496,,,51,121,1
497,,,51,087,1
498,,,51,770,3
499,,,51,003,3
500,,,51,085,2
501,,,51,153,4
502,,,51,013,7
503,,,51,135,5
504,,,51,013,2
505,,,51,550,3
506,,,51,059,4
507,,,51,600,1
508,,,51,093,5
509,,,51,730,2
510,,,51,600,1
511,,,51,510,2
512,,,51,570,2
513,,,51,760,1
514,,,51,041,2
515,,,51,175,4
516,,,51,059,2
517,,,51,161,2
518,,,51,670,1
519,,,51,031,1
520,,,51,013,2
521,,,51,165,1
522,,,51,550,2
523,,,51,810,1
524,,,51,700,1
525,,,51,061,1
526,,,51,710,2
527,,,51,810,2
528,,,51,133,3
529,,,51,153,5
530,,,51,005,1
531,,,51,013,4
532,,,51,059,1
533,,,51,810,2
534,,,51,105,1
535,,,51,650,2
536,,,51,087,3
537,,,51,027,2
538,,,51,059,1
539,,,51,121,2
540,,,51,195,2
541,,,51,750,1
542,,,51,660,2
543,,,51,167,1
544,,,51,165,1
545,,,51,670,4
546,,,51,590,1
547,,,51,117,1
548,,,51,085,2
549,,,51,059,2
550,,,51,069,1
551,,,51,087,3
552,,,51,013,1
553,,,51,197,2
554,,,51,760,1
555,,,51,680,1
556,,,51,135,1
557,,,51,107,1
558,,,51,015,1
559,,,51,135,2
560,,,51,085,2
561,,,51,810,1
562,,,51,520,2
563,,,51,109,1
564,,,51,680,1
565,,,51,069,1
566,,,51,107,2
567,,,51,095,1
568,,,51,089,2
569,,,51,810,1
570,,,51,059,3
571,,,51,059,2
572,,,51,171,1
573,,,51,167,2
574,,,51,510,2
575,,,51,119,1
576,,,51,007,2
577,,,51,550,4
578,,,51,550,3
579,,,51,093,1
580,,,51,027,2
581,,,51,760,1
582,,,51,015,2
583,,,51,059,2
584,,,51,810,1
585,,,51,810,1
586,,,51,610,2
587,,,51,173,3
588,,,51,143,2
589,,,51,650,1
590,,,51,810,1
591,,,51,650,1
592,,,51,087,3
593,,,51,830,1
594,,,51,107,1
595,,,51,121,2
596,,,51,069,1
597,,,51,171,2
598,,,51,003,4
599,,,51,013,1
600,,,51,059,1
601,,,51,740,1
602,,,51,810,1
603,,,51,510,1
604,,,51,191,1
605,,,51,127,1
606,,,51,025,1
607,,,51,143,1
608,,,51,550,2
609,,,51,510,2
610,,,51,019,1
611,,,51,810,2
612,,,51,053,1
613,,,51,169,2
614,,,51,193,5
615,,,51,590,1
616,,,51,007,2
617,,,51,035,1
618,,,51,095,1
619,,,51,059,1
620,,,51,550,1
621,,,51,710,1
622,,,51,179,2
623,,,51,775,2
624,,,51,700,1
625,,,51,770,3
626,,,51,041,1
627,,,51,041,2
628,,,51,087,1
629,,,51,095,2
630,,,51,700,2
631,,,51,061,2
632,,,51,145,1
633,,,51,177,2
634,,,51,107,1
635,,,51,143,2
636,,,51,121,1
637,,,51,550,2
638,,,51,177,1
639,,,51,059,1
640,,,51,059,1
641,,,51,047,3
642,,,51,145,1
643,,,51,001,2
644,,,51,179,1
645,,,51,013,2
646,,,51,193,2
647,,,51,025,1
648,,,51,087,2
649,,,51,087,1
650,,,51,153,2
651,,,51,047,2
652,,,51,165,2
653,,,51,107,2
654,,,51,153,1
655,,,51,700,2
656,,,51,041,2
657,,,51,185,1
658,,,51,810,4
659,,,51,117,1
660,,,51,087,1
661,,,51,013,1
662,,,51,013,3
663,,,51,133,2
664,,,51,059,1
665,,,51,730,1
666,,,51,700,1
667,,,51,059,2
668,,,51,081,1
669,,,51,191,3
670,,,51,678,1
671,,,51,059,4
672,,,51,085,1
673,,,51,041,1
674,,,51,059,1
675,,,51,013,1
676,,,51,041,2
677,,,51,185,3
678,,,51,810,1
679,,,51,059,2
680,,,51,019,2
681,,,51,177,2
682,,,51,047,2
683,,,51,041,2
684,,,51,059,2
685,,,51,059,2
686,,,51,600,1
687,,,51,053,3
688,,,51,041,1
689,,,51,710,2
690,,,51,161,1
691,,,51,760,2
692,,,51,590,2
693,,,51,740,1
694,,,51,059,2
695,,,51,540,4
696,,,51,179,3
697,,,51,059,4
698,,,51,510,2
699,,,51,660,3
700,,,51,153,6
701,,,51,015,5
702,,,51,153,1
703,,,51,003,1
704,,,51,670,1
705,,,51,810,1
706,,,51,187,1
707,,,51,520,1
708,,,51,041,1
709,,,51,041,1
710,,,51,191,1
711,,,51,550,1
712,,,51,600,2
713,,,51,199,2
714,,,51,153,1
715,,,51,121,1
716,,,51,185,1
717,,,51,197,1
718,,,51,735,2
719,,,51,059,2
720,,,51,650,2
721,,,51,087,2
722,,,51,047,3
723,,,51,510,1
724,,,51,087,1
725,,,51,013,1
726,,,51,153,1
727,,,51,810,1
728,,,51,810,2
729,,,51,089,3
730,,,51,107,2
731,,,51,059,2
732,,,51,059,2
733,,,51,153,2
734,,,51,041,2
735,,,51,550,1
736,,,51,033,4
737,,,51,043,1
738,,,51,195,3
739,,,51,760,1
740,,,51,770,1
741,,,51,059,3
742,,,51,740,2
743,,,51,013,1
744,,,51,177,1
745,,,51,810,1
746,,,51,133,2
747,,,51,035,1
748,,,51,059,1
749,,,51,179,1
750,,,51,043,1
751,,,51,093,3
752,,,51,660,2
753,,,51,071,2
754,,,51,141,1
755,,,51,107,1
756,,,51,810,2
757,,,51,810,2
758,,,51,710,2
759,,,51,740,2
760,,,51,013,3
761,,,51,810,1
762,,,51,047,3
763,,,51,125,1
764,,,51,700,1
765,,,51,760,2
766,,,51,770,1
767,,,51,800,4
768,,,51,059,1
769,,,51,199,2
770,,,51,165,2
771,,,51,510,3
772,,,51,640,1
773,,,51,071,2
774,,,51,143,1
775,,,51,059,2
776,,,51,059,2
777,,,51,153,1
778,,,51,059,1
779,,,51,810,1
780,,,51,550,1
781,,,51,107,2
782,,,51,007,2
783,,,51,107,1
784,,,51,145,1
785,,,51,161,1
786,,,51,169,1
787,,,51,137,1
788,,,51,125,2
789,,,51,047,2
790,,,51,073,2
791,,,51,710,2
792,,,51,760,2
793,,,51,087,2
794,,,51,169,1
795,,,51,670,1
796,,,51,710,1
797,,,51,810,2
798,,,51,059,1
799,,,51,155,2
800,,,51,520,3
801,,,51,710,1
802,,,51,199,2
803,,,51,031,1
804,,,51,153,4
805,,,51,510,2
806,,,51,041,1
807,,,51,041,1
808,,,51,031,1
809,,,51,197,1
810,,,51,760,1
811,,,51,041,2
812,,,51,650,2
813,,,51,710,3
814,,,51,059,4
815,,,51,810,1
816,,,51,650,2
817,,,51,630,4
818,,,51,710,3
819,,,51,095,1
820,,,51,013,1
821,,,51,775,1
822,,,51,059,1
823,,,51,760,1
824,,,51,630,1
825,,,51,770,2
826,,,51,059,1
827,,,51,051,1
828,,,51,059,5
829,,,51,041,2
830,,,51,041,2
831,,,51,059,1
832,,,51,015,1
833,,,51,187,1
834,,,51,510,2
835,,,51,059,2
836,,,51,013,1
837,,,51,740,1
838,,,51,153,2
839,,,51,770,1
840,,,51,510,1
841,,,51,810,3
842,,,51,650,2
843,,,51,059,1
844,,,51,199,2
845,,,51,041,1
846,,,51,041,2
847,,,51,163,1
848,,,51,115,2
849,,,51,153,1
850,,,51,510,2
851,,,51,059,1
852,,,51,800,2
853,,,51,153,1
854,,,51,191,1
855,,,51,191,2
856,,,51,770,1
857,,,51,690,2
858,,,51,087,2
859,,,51,810,1
860,,,51,059,2
861,,,51,059,1
862,,,51,019,1
863,,,51,165,1
864,,,51,810,3
865,,,51,059,2
866,,,51,760,1
867,,,51,177,2
868,,,51,059,2
869,,,51,121,3
870,,,51,085,1
871,,,51,187,2
872,,,51,013,3
873,,,51,153,1
874,,,51,007,1
875,,,51,197,1
876,,,51,059,1
877,,,51,085,2
878,,,51,810,3
879,,,51,177,4
880,,,51,177,4
881,,,51,810,1
882,,,51,630,3
883,,,51,700,1
884,,,51,059,3
885,,,51,145,2
886,,,51,810,1
887,,,51,810,2
888,,,51,179,1
889,,,51,710,1
890,,,51,121,1
891,,,51,181,2
892,,,51,059,2
893,,,51,061,3
894,,,51,059,1
895,,,51,059,2
896,,,51,059,1
897,,,51,810,2
898,,,51,059,2
899,,,51,145,1
900,,,51,730,2
901,,,51,760,2
902,,,51,810,1
903,,,51,059,2
904,,,51,710,2
905,,,51,165,2
906,,,51,137,1
907,,,51,059,4
908,,,51,069,3
909,,,51,059,1
910,,,51,127,4
911,,,51,013,1
912,,,51,025,2
913,,,51,107,3
914,,,51,179,1
915,,,51,197,2
916,,,51,680,3
917,,,51,107,4
918,,,51,153,1
919,,,51,167,1
920,,,51,059,1
921,,,51,810,1
922,,,51,087,2
923,,,51,093,1
924,,,51,179,2
925,,,51,061,2
926,,,51,730,2
927,,,51,059,3
928,,,51,059,2
929,,,51,041,1
930,,,51,840,2
931,,,51,059,2
932,,,51,115,1
933,,,51,630,1
934,,,51,169,1
935,,,51,019,1
936,,,51,810,2
937,,,51,570,3
938,,,51,830,1
939,,,51,165,3
940,,,51,143,1
941,,,51,079,4
942,,,51,087,1
943,,,51,059,2
944,,,51,171,2
945,,,51,770,1
946,,,51,059,2
947,,,51,087,1
948,,,51,173,1
949,,,51,810,1
950,,,51,059,2
951,,,51,810,3
952,,,51,059,1
953,,,51,089,2
954,,,51,107,5
955,,,51,087,5
956,,,51,740,3
957,,,51,031,1
958,,,51,059,1
959,,,51,810,2
960,,,51,041,2
961,,,51,087,4
962,,,51,630,2
963,,,51,760,1
964,,,51,143,1
965,,,51,061,2
966,,,51,059,1
967,,,51,003,2
968,,,51,041,2
969,,,51,069,1
970,,,51,810,1
971,,,51,095,1
972,,,51,193,2
973,,,51,770,1
974,,,51,710,1
975,,,51,087,2
976,,,51,139,1
977,,,51,069,3
978,,,51,153,3
979,,,51,760,1
980,,,51,041,1
981,,,51,095,2
982,,,51,650,1
983,,,51,760,1
984,,,51,185,1
985,,,51,059,3
986,,,51,121,1
987,,,51,059,2
988,,,51,800,2
989,,,51,131,2
990,,,51,810,1
991,,,51,760,2
992,,,51,800,2
993,,,51,087,1
994,,,51,810,1
995,,,51,683,2
996,,,51,121,2
997,,,51,810,1
998,,,51,590,3
999,,,51,770,3
1000,,,51,740,2
1001,,,51,041,1
1002,,,51,510,3
1003,,,51,041,1
1004,,,51,153,1
1005,,,51,059,2
1006,,,51,810,1
1007,,,51,740,1
1008,,,51,089,3
1009,,,51,061,2
1010,,,51,760,1
1011,,,51,810,1
1012,,,51,810,2
1013,,,51,107,2
1014,,,51,710,3
1015,,,51,153,1
1016,,,51,153,1
1017,,,51,069,1
1018,,,51,059,4
1019,,,51,107,3
1020,,,51,590,1
1021,,,51,159,2
1022,,,51,770,1
1023,,,51,187,3
1024,,,51,059,3
1025,,,51,730,1
1026,,,51,153,2
1027,,,51,067,1
1028,,,51,035,1
1029,,,51,059,1
1030,,,51,095,2
1031,,,51,550,1
1032,,,51,173,6
1033,,,51,153,1
1034,,,51,023,1
1035,,,51,600,1
1036,,,51,510,2
1037,,,51,059,2
1038,,,51,041,2
1039,,,51,760,1
1040,,,51,041,2
1041,,,51,121,2
1042,,,51,107,2
1043,,,51,550,1
1044,,,51,510,2
1045,,,51,800,2
1046,,,51,810,4
1047,,,51,107,2
1048,,,51,133,1
1049,,,51,191,2
1050,,,51,550,1
1051,,,51,013,3
1052,,,51,740,3
1053,,,51,087,1
1054,,,51,019,1
1055,,,51,041,2
1056,,,51,067,2
1057,,,51,043,3
1058,,,51,059,1
1059,,,51,650,2
1060,,,51,700,2
1061,,,51,810,1
1062,,,51,059,2
1063,,,51,153,2
1064,,,51,015,1
1065,,,51,059,3
1066,,,51,790,1
1067,,,51,107,2
1068,,,51,177,1
1069,,,51,131,2
1070,,,51,119,1
1071,,,51,059,1
1072,,,51,059,4
1073,,,51,650,1
1074,,,51,630,3
1075,,,51,700,1
1076,,,51,041,2
1077,,,51,750,1
1078,,,51,059,2
1079,,,51,187,1
1080,,,51,041,1
1081,,,51,161,5
1082,,,51,107,6
1083,,,51,650,4
1084,,,51,059,3
1085,,,51,085,1
1086,,,51,510,1
1087,,,51,153,2
1088,,,51,735,1
1089,,,51,153,2
1090,,,51,143,1
1091,,,51,093,1
1092,,,51,041,1
1093,,,51,013,1
1094,,,51,163,1
1095,,,51,121,3
1096,,,51,093,1
1097,,,51,683,3
1098,,,51,059,1
1099,,,51,013,1
1100,,,51,061,1
1101,,,51,165,4
1102,,,51,187,1
1103,,,51,013,2
1104,,,51,013,1
1105,,,51,185,1
1106,,,51,035,2
1107,,,51,087,2
1108,,,51,155,2
1109,,,51,145,2
1110,,,51,121,1
1111,,,51,057,1
1112,,,51,550,2
1113,,,51,013,1
1114,,,51,093,2
1115,,,51,790,3
1116,,,51,510,1
1117,,,51,059,1
1118,,,51,041,2
1119,,,51,069,1
1120,,,51,087,1
1121,,,51,161,3
1122,,,51,071,1
1123,,,51,540,1
1124,,,51,073,1
1125,,,51,021,1
1126,,,51,041,1
1127,,,51,149,1
1128,,,51,550,1
1129,,,51,153,2
1130,,,51,165,1
1131,,,51,041,2
1132,,,51,059,1
1133,,,51,061,1
1134,,,51,041,1
1135,,,51,177,4
1136,,,51,153,1
1137,,,51,195,1
1138,,,51,683,2
1139,,,51,179,1
1140,,,51,025,3
1141,,,51,013,1
1142,,,51,630,2
1143,,,51,059,2
1144,,,51,035,1
1145,,,51,047,1
1146,,,51,041,6
1147,,,51,590,1
1148,,,51,650,3
1149,,,51,153,3
1150,,,51,009,1
1151,,,51,059,2
1152,,,51,143,1
1153,,,51,059,1
1154,,,51,650,1
1155,,,51,125,2
1156,,,51,700,2
1157,,,51,013,2
1158,,,51,085,2
1159,,,51,710,2
1160,,,51,153,1
1161,,,51,067,4
1162,,,51,187,1
1163,,,51,059,1
1164,,,51,105,1
1165,,,51,770,1
1166,,,51,095,1
1167,,,51,083,1
1168,,,51,199,1
1169,,,51,041,2
1170,,,51,810,1
1171,,,51,790,1
1172,,,51,133,1
1173,,,51,087,1
1174,,,51,760,1
1175,,,51,710,3
1176,,,51,121,2
1177,,,51,810,2
1178,,,51,059,4
1179,,,51,177,1
1180,,,51,059,1
1181,,,51,059,3
1182,,,51,670,6
1183,,,51,510,2
1184,,,51,710,2
1185,,,51,153,3
1186,,,51,143,1
1187,,,51,059,3
1188,,,51,035,3
1189,,,51,059,3
1190,,,51,059,1
1191,,,51,059,2
1192,,,51,019,1
1193,,,51,059,2
1194,,,51,059,2
1195,,,51,770,2
1196,,,51,099,2
1197,,,51,059,2
1198,,,51,650,2
1199,,,51,013,2
1200,,,51,680,1
1201,,,51,087,5
1202,,,51,510,4
1203,,,51,077,2
1204,,,51,059,3
1205,,,51,510,1
1206,,,51,193,2
1207,,,51,165,2
1208,,,51,013,2
1209,,,51,195,3
1210,,,51,059,2
1211,,,51,161,1
1212,,,51,191,1
1213,,,51,199,4
1214,,,51,550,3
1215,,,51,041,2
1216,,,51,143,3
1217,,,51,087,1
1218,,,51,163,2
1219,,,51,630,2
1220,,,51,099,2
1221,,,51,810,1
1222,,,51,185,3
1223,,,51,810,1
1224,,,51,177,1
1225,,,51,157,2
1226,,,51,121,1
1227,,,51,810,2
1228,,,51,041,1
1229,,,51,167,1
1230,,,51,770,2
1231,,,51,650,2
1232,,,51,127,2
1233,,,51,740,4
1234,,,51,540,1
1235,,,51,540,3
1236,,,51,085,1
1237,,,51,061,1
1238,,,51,153,1
1239,,,51,580,1
1240,,,51,580,1
1241,,,51,550,1
1242,,,51,059,1
1243,,,51,510,2
1244,,,51,610,1
1245,,,51,680,1
1246,,,51,127,2
1247,,,51,059,1
1248,,,51,800,1
1249,,,51,510,2
1250,,,51,760,1
1251,,,51,800,1
1252,,,51,810,1
1253,,,51,083,2
1254,,,51,041,1
1255,,,51,540,3
1256,,,51,059,1
1257,,,51,153,1
1258,,,51,770,2
1259,,,51,161,1
1260,,,51,177,5
1261,,,51,600,2
1262,,,51,760,3
1263,,,51,161,3
1264,,,51,059,4
1265,,,51,033,1
1266,,,51,041,3
1267,,,51,121,1
1268,,,51,760,3
1269,,,51,167,2
1270,,,51,199,2
1271,,,51,650,2
1272,,,51,145,1
1273,,,51,670,1
1274,,,51,810,3
1275,,,51,003,2
1276,,,51,015,2
1277,,,51,197,1
1278,,,51,770,2
1279,,,51,103,4
1280,,,51,085,4
1281,,,51,119,1
1282,,,51,059,3
1283,,,51,750,1
1284,,,51,059,4
1285,,,51,109,3
1286,,,51,087,1
1287,,,51,179,3
1288,,,51,810,3
1289,,,51,139,2
1290,,,51,019,1
1291,,,51,029,7
1292,,,51,191,1
1293,,,51,177,2
1294,,,51,059,2
1295,,,51,047,2
1296,,,51,165,3
1297,,,51,700,2
1298,,,51,107,1
1299,,,51,520,1
1300,,,51,199,1
1301,,,51,760,3
1302,,,51,059,1
1303,,,51,069,2
1304,,,51,059,2
1305,,,51,670,1
1306,,,51,760,1
1307,,,51,193,2
1308,,,51,067,2
1309,,,51,680,1
1310,,,51,073,1
1311,,,51,041,2
1312,,,51,015,2
1313,,,51,590,1
1314,,,51,107,3
1315,,,51,660,2
1316,,,51,700,2
1317,,,51,059,2
1318,,,51,059,2
1319,,,51,760,2
1320,,,51,650,1
1321,,,51,013,1
1322,,,51,041,1
1323,,,51,810,2
1324,,,51,041,1
1325,,,51,161,1
1326,,,51,193,2
1327,,,51,830,1
1328,,,51,683,1
1329,,,51,550,2
1330,,,51,760,1
1331,,,51,059,2
1332,,,51,135,6
1333,,,51,181,1
1334,,,51,590,1
1335,,,51,700,1
1336,,,51,059,1
1337,,,51,700,1
1338,,,51,065,4
1339,,,51,510,2
1340,,,51,179,2
1341,,,51,700,3
1342,,,51,019,1
1343,,,51,550,2
1344,,,51,111,2
1345,,,51,059,2
1346,,,51,161,2
1347,,,51,510,1
1348,,,51,047,1
1349,,,51,710,2
1350,,,51,023,1
1351,,,51,037,1
1352,,,51,087,1
1353,,,51,051,1
1354,,,51,013,2
1355,,,51,003,1
1356,,,51,087,2
1357,,,51,059,1
1358,,,51,179,4
